source_interest_excel_row,source_excel_row,OPLEIDINGSEENHEIDCODE,ONDERWIJSAANBIEDER_NAAM,ERKENDEOPLEIDINGSCODE,NAAM_LANG,student_interest,evidence,source_title,source_url,strength,interest_relationship,counselor_programme_id,target_mapping_status
11076,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,mathematical modelling in physics,"The official programme presents mathematical modelling in physics as a central field, question, challenge, or academic application of the bachelor's degree.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Direct programme interest,cp-000258,mapped
11077,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,imaging and sensing technologies,"The official programme presents imaging and sensing technologies as a central field, question, challenge, or academic application of the bachelor's degree.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Direct programme interest,cp-000258,mapped
11078,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,energy technologies based on physical principles,"The official programme presents energy technologies based on physical principles as a central field, question, challenge, or academic application of the bachelor's degree.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Direct programme interest,cp-000258,mapped
11079,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,designing scientific experiments,"The official programme presents designing scientific experiments as a central field, question, challenge, or academic application of the bachelor's degree.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Direct programme interest,cp-000258,mapped
11080,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,the interface between fundamental science and engineering,"The official programme presents the interface between fundamental science and engineering as a central field, question, challenge, or academic application of the bachelor's degree.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Direct programme interest,cp-000258,mapped
11081,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,solving technical problems with physical reasoning,"The official programme presents solving technical problems with physical reasoning as a central field, question, challenge, or academic application of the bachelor's degree.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Direct programme interest,cp-000258,mapped
11082,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,classical mechanics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers classical mechanics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11083,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,electromagnetism,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers electromagnetism.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11084,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,quantum mechanics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers quantum mechanics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11085,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,thermodynamics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers thermodynamics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11086,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,statistical physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers statistical physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11087,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,optics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers optics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11088,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,wave phenomena,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers wave phenomena.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11089,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,atomic physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers atomic physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11090,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,solid-state physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers solid-state physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11091,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,materials physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers materials physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11092,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,nanoscale physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers nanoscale physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11093,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,mathematical analysis,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers mathematical analysis.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11094,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,linear algebra,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers linear algebra.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11095,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,differential equations,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers differential equations.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11096,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,experimental laboratory methods,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers experimental laboratory methods.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11097,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,measurement uncertainty,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers measurement uncertainty.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11098,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,scientific instrumentation,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers scientific instrumentation.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11099,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,data analysis for physics experiments,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers data analysis for physics experiments.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11100,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,computational physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers computational physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11101,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,signal processing,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers signal processing.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11102,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,electronic measurement circuits,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers electronic measurement circuits.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11103,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,imaging physics,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers imaging physics.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11104,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,quantum-device principles,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers quantum-device principles.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11105,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,physical modelling,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers physical modelling.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11106,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,scientific programming,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers scientific programming.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11107,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,physics research design,"The official bachelor's curriculum, programme description, or current programme-specific course information substantively covers physics research design.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Curricular topic,cp-000258,mapped
11108,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,using optical measurements to investigate a physical material,"The official programme presents using optical measurements to investigate a physical material as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11109,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,designing a sensitive instrument for a laboratory experiment,"The official programme presents designing a sensitive instrument for a laboratory experiment as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11110,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,modelling the behaviour of a nanoscale device,"The official programme presents modelling the behaviour of a nanoscale device as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11111,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,explaining a medical-imaging technique through physics,"The official programme presents explaining a medical-imaging technique through physics as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11112,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,measuring quantum or wave effects in an experiment,"The official programme presents measuring quantum or wave effects in an experiment as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11113,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,testing how a new material responds to an electromagnetic field,"The official programme presents testing how a new material responds to an electromagnetic field as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11114,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,developing a physical model for an energy technology,"The official programme presents developing a physical model for an energy technology as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11115,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,analysing uncertainty in a precision measurement,"The official programme presents analysing uncertainty in a precision measurement as an illustrative design challenge, project, case, or concrete application of its subject matter.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Illustrative or temporary topic,cp-000258,mapped
11116,271,1015O7241,Technische Universiteit Delft,,Bachelor Technische Natuurkunde,applied-physics research,"The official programme presents applied-physics research primarily as a graduate career, professional application, research field, or subsequent study direction.",BSc Technische Natuurkunde || Wat leer je tijdens de bacheloropleiding Technische Natuurkunde? — TU Delft,https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding || https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/over-de-opleiding/wat-ga-ik-leren,Explicit,Outcome or individual trajectory,cp-000258,mapped
